"Reihenfolge";"Abbildung_Diss";"Station";"Seite_Erzaehlfassung_v3";"Verwendung";"Datei";"Thema";"Hinweis";"Original";"SHA256"
"01";"2.1";"1, 27";"2, 5, 13, 24, 32";"Hauptteil";"01_Abb_2-1_BMS_Anforderungen.png";"BMS-Anforderungen";"Wiederkehrende Orientierung. Hervorhebungen stehen in der Erzaehlfassung auf S. 5, 13 und 24.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\bms_requirements.png";"954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE"
"02a";"4.1";"2";"3";"Hauptteil";"02a_Abb_4-1_NMC_SOH_Zyklen.png";"NMC-Datensatz: SOH ueber Zyklen";"Zusammen mit 02b verwenden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_soh_cycles.png";"9E3763FFCAD6F31B37F7A678D02EFC748986E62B3363F24F762E4C03F9FAF648"
"02b";"4.1";"2";"3";"Hauptteil";"02b_Abb_4-1_NMC_SOH_Zeit.png";"NMC-Datensatz: SOH ueber Zeit";"Zusammen mit 02a verwenden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_soh_time.png";"ECEBF8BF3B6F2D1CEBA67A028AF820F874149EF1A15C12D83446985A2E4408D3"
"03";"4.4";"2";"3";"Hauptteil";"03_Abb_4-4_LFP_Datensatz.png";"LFP-Datensatz und Betriebsbedingungen";"Fuer die Folie Zellverlaeufe und Profilzuordnung lesbar vergroessern.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\jes_final\Figure_26_APPENDIX_SOH_Aging_Conditions.png";"D9DB28D67E45FCF5BA7983838EFA281EA3B7B5ED4591634288DE32D4B88B4E8E"
"04";"4.6";"3";"4";"Hauptteil";"04_Abb_4-6_BMS_Platine.png";"Eigene BMS-Plattform";"Die eigene H755-Platine und die H753-Benchmarkhardware unterscheiden.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\bms_board_render.png";"4AD821A0325801758716CF1BDFAB6DAD8BD084E89CDF92997CF5073641EFED3F"
"05";"3.2";"4";"6";"Hauptteil";"05_Abb_3-2_MLP_Architektur.png";"MLP-Grundlagen";"Eingang, Gewichte, Aktivierung und Ausgabe erklaeren.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\mlp_general_architecture.png";"B23C4B1F327B34005287008661EA0D4105DC544C13AD65F663CDEBB8A0C6F97A"
"06";"5.1";"5";"7";"Hauptteil";"06_Abb_5-1_Korrelation.png";"Korrelation der Messgroessen";"Korrelation ist weder Kausalitaet noch ein gemessener Feature-Importance-Test.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_correlation.png";"CB9CF3FC90712DA28053D9CDA8E149DE16891289D51EE68BED0A9D8094171F8A"
"07";"5.2";"6";"8";"Hauptteil";"07_Abb_5-2_Lag_Sequenz.png";"Lag-Steps und Lag-Sequenzen";"Zeitliche Information fuer einen MLP.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_lag_sequence.png";"E6DC6985E3E1B55B5B344D6BFB6BA8DE924D519ACFB258AC11B64820D91CEA37"
"08";"5.3";"7";"9";"Hauptteil";"08_Abb_5-3_Training_Evaluation.png";"Datenaufbereitung und Evaluation";"Training, Validierung und Test sowie Skalierung und Hyperparameterwahl.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_process.png";"8320314B27DD06B9FB16EEED0ADFE8ED8DFDF0E807D9B4DF2E0A57AAD95431A0"
"09";"5.5";"8";"10";"Hauptteil";"09_Abb_5-5_MLP_Historienvergleich.png";"Einfluss der Lag-Konfiguration";"Zusammen mit Abbildung 5.6.";"C:\Users\Florian\SynologyDrive\TUB\1_Dissertation\1_Scripts\LATEX\DISS\Florian_Rzepka_Dissertation\pictures\eaai_palette\paper1_mae_matrix.png";"30E092CD33883FB4D706F633E6385EFFA90839B7AF277D9A2C0C000C0CF90D5A"
