"Slide","Title","Image","SHA256","PowerPointCrop"
"1","Neuronale Zustandsbestimmung","Folie_01_image3.png","6C5F45EBC92D64792FFAE04C953200983D82E6BDB33AC937AD58C5C3825D21BE","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""25289"" r=""0"" b=""25289"" />"
"2","Motivation: Batteriespeicher für eine dezentrale","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"2","Motivation: Batteriespeicher für eine dezentrale","Folie_02_image4.png","F1384BC8DEE30C15BC88311448A03BDFEC19DA7F1BDEDD0D8AAB3B1703AC9FEF",
"3","Forschungsfragen und Ziele der Dissertation","Folie_03_image5.png","954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE",
"3","Forschungsfragen und Ziele der Dissertation","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"4","Betriebsbedingungen prägen den Alterungsverlauf","Folie_04_image6.png","66753573585B3768309884FF5C71FB4E8FB1786B4237F1E804857A97D49E0CA3",
"5","Betriebsbedingungen prägen den Alterungsverlauf","Folie_05_image7.png","FD88712972320A1FBCD7053044A1182DE23E5BA34BEF356DB212FF111B8D88AA",
"6","BMS: Messung, Schutz und Zustandsbestimmung","Folie_06_image8.png","4AD821A0325801758716CF1BDFAB6DAD8BD084E89CDF92997CF5073641EFED3F",
"7","Feature Engineering für kompakte SOH-Modelle","Folie_03_image5.png","954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE",
"7","Feature Engineering für kompakte SOH-Modelle","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"8","MLP: Hidden Layers und Activation Functions","Folie_08_image10.png","B23C4B1F327B34005287008661EA0D4105DC544C13AD65F663CDEBB8A0C6F97A",
"8","MLP: Hidden Layers und Activation Functions","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"9","Feature Engineering mit Lag Sequences","Folie_09_image11.png","13EFB1E8B9C038478D57E4E7311657DCBDA4429364CA1466174AA7BB5E52BD7D",
"10","Training und Evaluation auf getrennten Batteriezellen","Folie_10_image12.png","F667CD2A8BF392E8C474C70D7F451D0601796480BC174697628F03EA4F431D1F",
"11","Ergebnisse: Einfluss von Zeitauflösung und Lag-Sequence Length","Folie_11_image13.png","8EFFD1A66AB706BF453AB68F81EC290C4B82EACA1FA70896992909585C1648B1",
"12","Ergebnisse: Genauigkeit und Grenzen der SOH-Schätzung","Folie_12_image14.png","3047520356E607FBC680D04108B7C13AEACA6F882FD811AE319D0971B59D7A44",
"13","Benchmark: Genauigkeit, Robustheit und Recovery","Folie_03_image5.png","954C9415C63C80A9A9155C9DF12AC851955CE0188B963640A65DB9BA0D1718EE",
"13","Benchmark: Genauigkeit, Robustheit und Recovery","Folie_02_image2.png","7B15E8D113B265A34300418CF6842BD7E3A77E485101156D187315CD8CA794B0",
"14","Benchmark: Vorgehen","Folie_14_image18.png","9EF3DB09922CF62B8C7A5D3805CEBF515B475CA4F645E6769288A4D8A5268E71",
"15","Benchmark: Vorgehen","Folie_14_image18.png","9EF3DB09922CF62B8C7A5D3805CEBF515B475CA4F645E6769288A4D8A5268E71",
"16","Benchmark: Vorgehen","Folie_14_image18.png","9EF3DB09922CF62B8C7A5D3805CEBF515B475CA4F645E6769288A4D8A5268E71",
"21","Benchmark: Störungen und kausale Auswertung","Folie_21_image19.png","C701324F5765A8255A6DB0A0A9C8710D0B2A35B09F109F3EDEB37B0AB20CC03A","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""20925"" b=""0"" />"
"22","Benchmark: Störungen und kausale Auswertung","Folie_21_image19.png","C701324F5765A8255A6DB0A0A9C8710D0B2A35B09F109F3EDEB37B0AB20CC03A","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""20925"" b=""0"" />"
"23","Benchmark: Störungen und kausale Auswertung","Folie_21_image19.png","C701324F5765A8255A6DB0A0A9C8710D0B2A35B09F109F3EDEB37B0AB20CC03A","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""20925"" b=""0"" />"
"24","Benchmark: Störungen und kausale Auswertung","Folie_21_image19.png","C701324F5765A8255A6DB0A0A9C8710D0B2A35B09F109F3EDEB37B0AB20CC03A","<a:srcRect xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" l=""0"" t=""0"" r=""20925"" b=""0"" />"
"25","Ergebnisse: Nominale SOC-Genauigkeit im Benchmark","Folie_25_image20.png","05ECFB0DCD4ECF4D316405BA7160C8D04CF3B3F35808FC779F90BA5D0ED2B4C8",
"26","Ergebnisse: Sensitivität gegenüber Strom-Gain-Fehlern","Folie_26_image21.png","082DA5C7432812AD207FED5609504F47DFA481777E5C64D296913B33C066885C",
