Task,Model,BitClass,Trials,NonFiniteRate,OutOfRangeRate,CatastrophicRate_gt10pp,P95CorruptedError_pct,P95MitigatedError_pct,MedianErrorIncrease_pp
SOC,Base,Mantissa,20000,0,0,0.091499999999999998,13.311901688575745,13.311901688575745,2.384185791015625E-05
SOC,Base,Exponent,20000,0,0.24759999999999999,0.98334999999999995,2.3285780139977361E+40,89.098851918242872,64.008632255081466
SOC,Base,Sign,20000,0,1,0.98970000000000002,185.79517602920532,7.7748984098434448,118.61001253128052
SOC,Base,AnyBit,20000,0,0.090050000000000005,0.33879999999999999,122.33611941337585,73.326736671883296,0.01220703125
SOC,Pruned,Mantissa,20000,0,0,0.071550000000000002,12.922579050064087,12.922579050064087,2.384185791015625E-05
SOC,Pruned,Exponent,20000,0,0.2437,0.98499999999999999,2.3965948717794859E+40,88.772845268249512,63.313305377960205
SOC,Pruned,Sign,20000,0,1,0.98904999999999998,185.1029634475708,6.084132194519043,119.24253702163696
SOC,Pruned,AnyBit,20000,0,0.091450000000000004,0.33115,125.73379278182983,72.219353897271915,0.01220703125
SOC,Quantized,Mantissa,20000,0,0,0.087749999999999995,12.909436225891113,12.909436225891113,2.384185791015625E-05
SOC,Quantized,Exponent,20000,0,0.24515000000000001,0.9839,2.3351511373020875E+40,88.884994387626648,63.44671247847986
SOC,Quantized,Sign,20000,0,1,0.98970000000000002,185.65706610679626,7.9282432794570923,118.66827011108398
SOC,Quantized,AnyBit,20000,0,0.091499999999999998,0.33774999999999999,124.41712617874146,72.949486953423076,0.01220703125
