Task,Model,BitClass,Trials,NonFiniteRate,OutOfRangeRate,CatastrophicRate_gt10pp,P95CorruptedError_pct,P95MitigatedError_pct,MedianErrorIncrease_pp
SOH,Base,Mantissa,20000,0,0.014800000000000001,0.091450000000000004,14.335137605667114,14.071094989776611,0.00019073486328125
SOH,Base,Exponent,20000,0.0020500000000000002,0.24909999999999999,1,3.1544420360175297E+40,97.734581324402825,90.677431598305702
SOH,Base,Sign,20000,0,1,1,197.13624119758606,2.6132822036743164,183.13162326812744
SOH,Base,AnyBit,20000,0.00050000000000000001,0.10155,0.34244999999999998,183.05919170379639,93.900978544106678,0.049579143524169922
SOH,Pruned,Mantissa,20000,0,0,0.084250000000000005,14.945089817047119,14.945089817047119,4.76837158203125E-05
SOH,Pruned,Exponent,20000,0,0.25119999999999998,1,3.2023795111157604E+40,97.672302788123488,89.076542854309082
SOH,Pruned,Sign,20000,0,1,1,196.99916243553162,3.8885891437530518,180.95413446426392
SOH,Pruned,AnyBit,20000,0,0.091350000000000001,0.34344999999999998,179.80349659919739,94.208869850263,0.0244140625
SOH,Quantized,Mantissa,20000,0,0.00080000000000000004,0.083099999999999993,14.410144090652466,14.362609386444092,4.76837158203125E-05
SOH,Quantized,Exponent,20000,0.0001,0.24945000000000001,1,3.207087058384768E+40,97.704833745956421,89.407486841082573
SOH,Quantized,Sign,20000,0,1,1,195.82852721214294,4.0782451629638672,181.74021244049072
SOH,Quantized,AnyBit,20000,0,0.093450000000000005,0.33900000000000002,179.85217571258545,93.888002634048462,0.0244140625
