Model,Filter,MAE_pct,RMSE_pct,Bias_pp,P95_pct,Max_pct,LimiterActivationFraction,MeanAbsPostprocessChange_pp,P95PostprocessChange_pp
Base,Raw_first-point-scaled,1.84955348483134,2.1783411644474024,-0.033785562564968084,3.8092852414147171,7.8556428461317047,0,0,0
Base,BenchmarkCode_alpha0.02_symmetric-cap,1.6770619588736495,1.9518274157676732,-0.08886486489925953,3.5603434270534584,4.0920970342082752,0.99886472977250651,0.85805349405008602,2.6591116358062994
Base,ManuscriptText_alpha1e-6_downward-cap,1.4434525790482631,1.5948023812493599,0.89686244417926853,2.4340830331204932,2.5486633952973015,0.35721194537624706,1.5124606342042979,4.5294029486973812
Base,FinalSequential_alpha0.02_then_alpha1e-6,1.4762997756138323,1.6236179967283049,0.92460379741330978,2.442083737470957,2.5269366408116611,0.23661387639779016,1.636036569127491,4.9061888962358635
Pruned,Raw_first-point-scaled,1.9847248086565763,2.4646458943768041,0.65881970916024402,4.7955261368964219,13.161629876921044,0,0,0
Pruned,BenchmarkCode_alpha0.02_symmetric-cap,1.6435725398815448,2.0814217717758332,0.64342624709268248,4.3171988271214046,6.0301799690722913,0.99880340669362444,1.0128548263179911,2.9347732756124123
Pruned,ManuscriptText_alpha1e-6_downward-cap,1.6842146260941451,2.1904907942515326,1.6580671429537226,4.1562030488955131,4.5194394181289894,0.37366322250343004,1.6732688760793715,4.950135070559103
Pruned,FinalSequential_alpha0.02_then_alpha1e-6,1.6946376989027729,2.2149949025079465,1.6464450341689512,4.1900405155741893,4.5642052035946401,0.31862552157378876,1.7057584226622857,5.0451968940962155
Quantized,Raw_first-point-scaled,2.1063677024213243,2.4392433401559099,-1.9497940480172653,4.3836552931348249,8.7732733829361855,0,0,0
Quantized,BenchmarkCode_alpha0.02_symmetric-cap,1.9258724298964593,2.1964572488769001,-1.9204364270522709,3.8187866973381945,4.669353971529544,0.99826874394400111,0.74138371459533348,2.1846546863717786
Quantized,ManuscriptText_alpha1e-6_downward-cap,1.0421709059012871,1.2530965147551933,-1.0306883269967255,2.1957000406259697,2.4873111189549824,0.29482264939135644,1.2397916552524784,3.6506285580802711
Quantized,FinalSequential_alpha0.02_then_alpha1e-6,1.0278506968863561,1.240775970581133,-1.0052074955258514,2.2538890507941778,2.5316620264891565,0.21748438813850324,1.2551719510500099,3.6728092393980449
