Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
0,0,0,0,0
1,1,1.1574074074074073E-05,0.020000000000000018,1.0000000000287557E-06
2,2,2.3148148148148147E-05,0.03960000000000008,1.999999000079633E-06
3,3,3.4722222222222222E-05,0.058807999999999971,2.9999970000416099E-06
4,4,4.6296296296296294E-05,0.077631840000000008,3.9999940001367307E-06
5,5,5.7870370370370373E-05,0.096079203200000074,4.9999900001429509E-06
6,6,6.9444444444444444E-05,0.11415761913600009,5.9999850001712929E-06
7,7,8.1018518518518516E-05,0.13187446675328007,6.9999790002217566E-06
8,8,9.2592592592592588E-05,0.14923697741821451,7.999972000294342E-06
9,9,0.00010416666666666667,0.16625223786985022,8.9999640003890491E-06
10,10,0.00011574074074074075,0.18292719311245331,9.9999550003948556E-06
11,11,0.0001273148148148148,0.19926864925020416,1.0999945000533806E-05
12,12,0.00013888888888888889,0.21528327626520016,1.1999934000583856E-05
13,13,0.00015046296296296297,0.2309776107398962,1.2999922000656028E-05
14,14,0.00016203703703703703,0.24635805852509829,1.3999909000750321E-05
15,15,0.00017361111111111112,0.26143089735459635,1.4999895000866736E-05
16,16,0.00018518518518518518,0.2762022794075043,1.5999880001005273E-05
17,17,0.00019675925925925926,0.29067823381935431,1.6999864001165932E-05
18,18,0.00020833333333333335,0.30486466914296717,1.7999847001348712E-05
19,19,0.0002199074074074074,0.31876737576010783,1.8999829001553614E-05
20,20,0.00023148148148148149,0.33239202824490577,1.9999810001669616E-05
21,21,0.00024305555555555555,0.3457441876800077,2.0999790001918761E-05
22,22,0.00025462962962962961,0.35882930392640755,2.1999769002190028E-05
23,23,0.00026620370370370372,0.37165271784787934,2.2999747002483417E-05
24,24,0.00027777777777777778,0.38421966349092185,2.3999724002687906E-05
25,25,0.00028935185185185184,0.39653527022110335,2.4999700003025538E-05
26,26,0.00030092592592592595,0.40860456481668128,2.5999675003385292E-05
27,27,0.00031250000000000001,0.42043247352034774,2.6999649003656145E-05
