Task,Variant,Window,StartFraction,EndFraction,MeanAbsDeviation_pp,RMSDeviation_pp,BiasDeviation_pp,P95Deviation_pp,MaxDeviation_pp
SOC,Pruned,1,0,0.10000000000000001,0.92382963713018762,1.1767847219371514,0.60336100380167845,2.1394491195678711,8.4774434566497803
SOC,Pruned,2,0.10000000000000001,0.20000000000000001,1.2217266723884761,1.6928975539808735,0.59396284611555494,3.2787561416625977,11.409501731395721
SOC,Pruned,3,0.20000000000000001,0.29999999999999999,1.3202330314369035,1.8530772310036994,0.44252551387633154,2.8906911611557007,13.295187056064606
SOC,Pruned,4,0.29999999999999999,0.40000000000000002,1.3879421274903916,1.8473661651211917,0.068764897297933031,3.104102611541748,11.826209723949432
SOC,Pruned,5,0.40000000000000002,0.5,1.6560228875667338,2.348090579659929,-0.18597120401596709,3.8701176643371582,13.903269171714783
SOC,Pruned,6,0.5,0.59999999999999998,1.6573458943564667,2.3783073497947038,-0.30781640771392949,4.3870478868484497,14.049848914146423
SOC,Pruned,7,0.59999999999999998,0.69999999999999996,1.8987780813143835,2.7441598589787355,-0.49150994681047216,5.3608059883117676,14.786501228809357
SOC,Pruned,8,0.69999999999999996,0.80000000000000004,2.1301650478905252,3.2430254860296777,-1.0716149507738646,6.5790116786956787,16.13713800907135
SOC,Pruned,9,0.80000000000000004,0.90000000000000002,2.5447528861249733,3.6004183141035755,-1.5603672876458452,7.2433799505233765,17.785489559173584
SOC,Pruned,10,0.90000000000000002,1,2.5923638360297097,3.9152422011936547,-1.5964006770551893,8.5547804832458496,19.193160533905029
SOC,Quantized,1,0,0.10000000000000001,0.33233830009240595,0.45962971139025022,0.036029918048050759,0.95422863960266113,5.1105961203575134
SOC,Quantized,2,0.10000000000000001,0.20000000000000001,0.37769540412586294,0.59544283525619757,0.11125190617154834,1.3954818248748779,6.4409032464027405
SOC,Quantized,3,0.20000000000000001,0.29999999999999999,0.4185288390321823,0.74419555746288424,0.15132130239321318,2.1263539791107178,5.4485589265823364
SOC,Quantized,4,0.29999999999999999,0.40000000000000002,0.41278589821812045,0.77576793452607207,0.15565718359510466,2.2999942302703857,5.652715265750885
SOC,Quantized,5,0.40000000000000002,0.5,0.28550566611144851,0.49424724186480623,0.056858647291089082,0.58556795120239258,7.5687795877456665
SOC,Quantized,6,0.5,0.59999999999999998,0.27833814396535456,0.52823176142938255,0.054906106904413998,0.53757429122924805,6.8177461624145508
SOC,Quantized,7,0.59999999999999998,0.69999999999999996,0.3003949209486344,0.59377422200162666,0.067029341961053743,0.57669878005981445,6.8228751420974731
SOC,Quantized,8,0.69999999999999996,0.80000000000000004,0.30837583695305842,0.61412115136084078,0.065614055682750597,0.56859850883483887,6.3026309013366699
SOC,Quantized,9,0.80000000000000004,0.90000000000000002,0.27091265455210645,0.48579076585798731,0.0212186467685637,0.51617622375488281,6.7667275667190552
SOC,Quantized,10,0.90000000000000002,1,0.27072169289297332,0.47201940301805773,0.026753710011825822,0.53349733352661133,6.5275400876998901
