Task,Model,Window,StartFraction,EndFraction,Count,MAE_pct,RMSE_pct,Bias_pp,P95_pct,Max_pct
SOC,Base,1,0,0.10000000000000001,1449903,1.1161979463056424,2.86545294549695,-0.30508928844893185,3.1124383211135864,99.537163972854614
SOC,Base,2,0.10000000000000001,0.20000000000000001,1449904,1.3624914365171348,1.6877534307684319,-0.17583718130567119,3.3979475498199463,7.5945377349853516
SOC,Base,3,0.20000000000000001,0.29999999999999999,1449904,1.5412452106168752,1.8314272541087817,0.44339074722726063,3.3480525016784668,7.2893917560577393
SOC,Base,4,0.29999999999999999,0.40000000000000002,1449904,1.9168203492960028,2.3475488188568479,1.2800393696856287,4.3218165636062622,8.3775550127029419
SOC,Base,5,0.40000000000000002,0.5,1449904,2.1138249540653087,2.6833847508006397,1.509397081381197,5.2840590476989746,11.048409342765808
SOC,Base,6,0.5,0.59999999999999998,1449903,2.7200264613001153,3.5031785893713003,2.4270600713926305,6.7004621028900146,12.900051474571228
SOC,Base,7,0.59999999999999998,0.69999999999999996,1449904,3.2119171181455353,4.1684039904791161,2.8950380998521044,8.1788957118988037,17.141576111316681
SOC,Base,8,0.69999999999999996,0.80000000000000004,1449904,3.5791836813036437,4.6139848530757375,3.4020311950335183,9.1989338397979736,17.780710756778717
SOC,Base,9,0.80000000000000004,0.90000000000000002,1449904,4.7459216126321522,5.7688529575287841,4.6217476432999298,11.032649874687195,18.460950255393982
SOC,Base,10,0.90000000000000002,1,1449904,4.5375033534201723,5.7942358165097225,4.3724586870507816,11.775824427604675,18.521614372730255
SOC,Pruned,1,0,0.10000000000000001,1449903,1.0157516025826652,2.7327762573638834,0.2982717153527466,2.3701071739196777,99.60063099861145
SOC,Pruned,2,0.10000000000000001,0.20000000000000001,1449904,1.2476615264057966,1.7203649558900529,0.41812566480990054,2.4005532264709473,13.795456290245056
SOC,Pruned,3,0.20000000000000001,0.29999999999999999,1449904,1.5621261901280259,2.0802749946792805,0.88591626110359201,2.9894351959228516,15.365225076675415
SOC,Pruned,4,0.29999999999999999,0.40000000000000002,1449904,1.8524939689818622,2.2759217736463193,1.348804266983562,3.6848962306976318,12.910023331642151
SOC,Pruned,5,0.40000000000000002,0.5,1449904,2.0310498456006294,2.6398150748307798,1.3234258773652303,4.3013304471969604,14.708229899406433
SOC,Pruned,6,0.5,0.59999999999999998,1449903,2.562172908911402,3.0466599041641169,2.1192436636787009,4.8287242650985718,13.959220051765442
SOC,Pruned,7,0.59999999999999998,0.69999999999999996,1449904,2.85760064085961,3.4012202355990935,2.4035281530416324,5.5053621530532837,14.859798550605774
SOC,Pruned,8,0.69999999999999996,0.80000000000000004,1449904,3.0643014167214013,3.7394011828793703,2.3304162442596614,6.1289131641387939,15.49409031867981
SOC,Pruned,9,0.80000000000000004,0.90000000000000002,1449904,3.5485759960499719,4.1251901030176032,3.0613803556540855,6.5882086753845215,16.058370471000671
SOC,Pruned,10,0.90000000000000002,1,1449904,3.6378761117788332,4.3852405808498602,2.7760580099955861,7.2948217391967773,16.112053394317627
SOC,Quantized,1,0,0.10000000000000001,1449903,1.2340175764129773,2.9050208171510463,-0.26905937040088113,3.0092895030975342,99.524903297424316
SOC,Quantized,2,0.10000000000000001,0.20000000000000001,1449904,1.4783002617601475,1.7558218043305331,-0.064585275134122849,3.2901585102081299,7.4832230806350708
SOC,Quantized,3,0.20000000000000001,0.29999999999999999,1449904,1.6828794968332423,1.9496141397831808,0.59471204962047386,3.3830732107162476,7.559669017791748
SOC,Quantized,4,0.29999999999999999,0.40000000000000002,1449904,2.0859246194142496,2.4858102082140583,1.4356965532807247,4.4392824172973633,8.6360633373260498
SOC,Quantized,5,0.40000000000000002,0.5,1449904,2.2137838890817307,2.7830580306415609,1.5662557286722858,5.3820103406906128,11.310359835624695
SOC,Quantized,6,0.5,0.59999999999999998,1449903,2.8059462829051718,3.5891623267274109,2.4819661782970446,6.6482663154602051,13.12936544418335
SOC,Quantized,7,0.59999999999999998,0.69999999999999996,1449904,3.3081062365419944,4.2529389058041369,2.9620674418131583,8.1092596054077148,17.201435565948486
SOC,Quantized,8,0.69999999999999996,0.80000000000000004,1449904,3.7020729195066631,4.7082638013848017,3.4676452507162683,9.1454386711120605,17.938601970672607
SOC,Quantized,9,0.80000000000000004,0.90000000000000002,1449904,4.8006125408667941,5.83277815620567,4.642966290068494,10.948887467384338,18.526202440261841
SOC,Quantized,10,0.90000000000000002,1,1449904,4.599921470096441,5.863908099146423,4.3992123970626071,11.687853932380676,18.857444822788239
