"Task","Variant","ValueName","BinCenter","Density"
"SOC","Base","Weight","-1.3423255009999999","0.053649065651306151"
"SOC","Base","Weight","-1.312160883","0.005549903343238567"
"SOC","Base","Weight","-1.2819962650000001","0.0018499677810795223"
"SOC","Base","Weight","-1.2518316469999999","0.0018499677810795223"
"SOC","Base","Weight","-1.221667029","0.0018499677810795223"
"SOC","Base","Weight","-1.1915024110000001","0.0036999355621590447"
"SOC","Base","Weight","-1.161337793","0.0018499677810795223"
"SOC","Base","Weight","-1.131173175","0.011099806686477134"
"SOC","Base","Weight","-1.1010085570000001","0.0018499677810795223"
"SOC","Base","Weight","-1.070843939","0.005549903343238567"
"SOC","Base","Weight","-1.040679321","0.0036999355621590447"
"SOC","Base","Weight","-1.0105147029999999","0.0073998711243180894"
"SOC","Base","Weight","-0.98035008499999998","0.005549903343238567"
"SOC","Base","Weight","-0.95018546700000006","0.0036999355621590447"
"SOC","Base","Weight","-0.92002084899999992","0.005549903343238567"
"SOC","Base","Weight","-0.889856231","0.0018499677810795223"
"SOC","Base","Weight","-0.85969161299999997","0.0018499677810795223"
"SOC","Base","Weight","-0.82952699499999993","0.005549903343238567"
"SOC","Base","Weight","-0.79936237700000001","0.005549903343238567"
"SOC","Base","Weight","-0.76919775899999998","0.005549903343238567"
"SOC","Base","Weight","-0.73903314099999995","0.005549903343238567"
"SOC","Base","Weight","-0.70886852300000003","0.012949774467556657"
"SOC","Base","Weight","-0.678703905","0.011099806686477134"
"SOC","Base","Weight","-0.64853928699999996","0.0092498389053976126"
"SOC","Base","Weight","-0.61837466899999993","0.0036999355621590447"
"SOC","Base","Weight","-0.58821005100000001","0.0073998711243180894"
"SOC","Base","Weight","-0.55804543299999998","0.018499677810795225"
"SOC","Base","Weight","-0.52788081499999995","0.022199613372954268"
"SOC","Base","Weight","-0.49771619700000003","0.016649710029715704"
"SOC","Base","Weight","-0.46755157899999999","0.029599484497272358"
"SOC","Base","Weight","-0.43738696099999996","0.012949774467556657"
"SOC","Base","Weight","-0.40722234299999993","0.024049581154033793"
"SOC","Base","Weight","-0.37705772500000001","0.051799097870226629"
"SOC","Base","Weight","-0.34689310699999987","0.072148743462101372"
"SOC","Base","Weight","-0.31672848899999995","0.12024790577016896"
"SOC","Base","Weight","-0.28656387100000003","0.20719639148090652"
"SOC","Base","Weight","-0.25639925299999988","0.37369349177806355"
"SOC","Base","Weight","-0.22623463499999996","0.49579136532931201"
"SOC","Base","Weight","-0.19607001700000004","0.8602350182019779"
"SOC","Base","Weight","-0.1659053989999999","1.2487282522286776"
"SOC","Base","Weight","-0.13574078099999998","1.7981686832092958"
"SOC","Base","Weight","-0.10557616300000006","2.2514107895737787"
"SOC","Base","Weight","-0.075411544999999913","2.6769033792220691"
"SOC","Base","Weight","-0.045246926999999992","3.002497708692065"
"SOC","Base","Weight","-0.015082309000000071","3.1634449056459832"
"SOC","Base","Weight","0.015082309000000071","3.0653966132487689"
"SOC","Base","Weight","0.045246926999999992","2.9913979020055876"
"SOC","Base","Weight","0.075411545000000135","2.6584037014112738"
"SOC","Base","Weight","0.10557616300000006","2.269910467384574"
"SOC","Base","Weight","0.13574078099999998","1.8185183288011706"
"SOC","Base","Weight","0.16590539900000012","1.3190270279096996"
"SOC","Base","Weight","0.19607001700000004","0.76033675802368372"
"SOC","Base","Weight","0.22623463499999996","0.52169091426442538"
"SOC","Base","Weight","0.2563992530000001","0.33299420059431406"
"SOC","Base","Weight","0.28656387100000003","0.16834706807823654"
"SOC","Base","Weight","0.31672848899999995","0.099898260178294215"
"SOC","Base","Weight","0.34689310700000009","0.072148743462101372"
"SOC","Base","Weight","0.37705772500000001","0.068448807899942329"
"SOC","Base","Weight","0.40722234300000015","0.035149387840510929"
"SOC","Base","Weight","0.43738696100000007","0.024049581154033793"
"SOC","Base","Weight","0.46755157899999999","0.012949774467556657"
"SOC","Base","Weight","0.49771619700000014","0.012949774467556657"
"SOC","Base","Weight","0.52788081500000006","0.016649710029715704"
"SOC","Base","Weight","0.55804543299999998","0.027749516716192836"
"SOC","Base","Weight","0.58821005100000012","0.011099806686477134"
"SOC","Base","Weight","0.61837466900000004","0.0092498389053976126"
"SOC","Base","Weight","0.64853928699999996","0.016649710029715704"
"SOC","Base","Weight","0.67870390500000011","0.0092498389053976126"
"SOC","Base","Weight","0.70886852300000025","0.0092498389053976126"
"SOC","Base","Weight","0.73903314099999995","0.0092498389053976126"
"SOC","Base","Weight","0.76919775900000009","0.011099806686477134"
"SOC","Base","Weight","0.79936237700000023","0.0036999355621590447"
"SOC","Base","Weight","0.82952699499999993","0.0073998711243180894"
"SOC","Base","Weight","0.85969161300000008","0.005549903343238567"
"SOC","Base","Weight","0.88985623100000022","0.0018499677810795223"
"SOC","Base","Weight","0.92002084899999992","0.0092498389053976126"
"SOC","Base","Weight","0.95018546700000006","0.005549903343238567"
"SOC","Base","Weight","0.9803500850000002","0.0073998711243180894"
"SOC","Base","Weight","1.0105147029999999","0"
"SOC","Base","Weight","1.040679321","0.0073998711243180894"
"SOC","Base","Weight","1.0708439390000002","0.0092498389053976126"
"SOC","Base","Weight","1.1010085569999999","0"
"SOC","Base","Weight","1.131173175","0.0073998711243180894"
"SOC","Base","Weight","1.1613377930000002","0.005549903343238567"
"SOC","Base","Weight","1.1915024109999999","0.005549903343238567"
