Task,Model,ProgressPercent,CumulativeMAE_pct
SOC,Base,1,1.402196516428414
SOC,Base,2,1.0772312662371677
SOC,Base,3,0.97228168495150047
SOC,Base,4,0.93154843330391468
SOC,Base,5,1.0981948078693993
SOC,Base,6,1.261552622834065
SOC,Base,7,1.2275381131101908
SOC,Base,8,1.1749787449587692
SOC,Base,9,1.1390474142349551
SOC,Base,10,1.1161979463056424
SOC,Base,11,1.1044000448278346
SOC,Base,12,1.1255014763252387
SOC,Base,13,1.1980684117368419
SOC,Base,14,1.2059075269895894
SOC,Base,15,1.1913287290742038
SOC,Base,16,1.1836097206911516
SOC,Base,17,1.1832180166489972
SOC,Base,18,1.1856576302998789
SOC,Base,19,1.1897165978963398
SOC,Base,20,1.2393447338786092
SOC,Base,21,1.256157268830103
SOC,Base,22,1.2637000861278829
SOC,Base,23,1.2666684719637924
SOC,Base,24,1.272608444851961
SOC,Base,25,1.2820689906851639
SOC,Base,26,1.2943909492895809
SOC,Base,27,1.3090445395371673
SOC,Base,28,1.3153902330067451
SOC,Base,29,1.3331284071194573
SOC,Base,30,1.3399782492603773
SOC,Base,31,1.3505010805392803
SOC,Base,32,1.3647214273217756
SOC,Base,33,1.3802107592096007
SOC,Base,34,1.3938467498703422
SOC,Base,35,1.3883908223756103
SOC,Base,36,1.4077778585687997
SOC,Base,37,1.4240407450176289
SOC,Base,38,1.4390413149726418
SOC,Base,39,1.4608481922847063
SOC,Base,40,1.4841887991348217
SOC,Base,41,1.5032176748434454
SOC,Base,42,1.4891289581510225
SOC,Base,43,1.4988784721536867
SOC,Base,44,1.5209762673553966
SOC,Base,45,1.5427370334764756
SOC,Base,46,1.5664407554737927
SOC,Base,47,1.5923557705261702
SOC,Base,48,1.6211249157579455
SOC,Base,49,1.6099047595880653
SOC,Base,50,1.6101160474913447
SOC,Base,51,1.6338214478753696
SOC,Base,52,1.6591184998414927
SOC,Base,53,1.6820495504775743
SOC,Base,54,1.7073656768831567
SOC,Base,55,1.7331306037464489
SOC,Base,56,1.727351862306987
SOC,Base,57,1.7179751299703723
SOC,Base,58,1.7416925530696707
SOC,Base,59,1.7674604085201151
SOC,Base,60,1.7951010314032223
SOC,Base,61,1.8221965104185158
SOC,Base,62,1.8485587980766232
SOC,Base,63,1.8530146795912952
SOC,Base,64,1.8362043626730811
SOC,Base,65,1.8672997786402483
SOC,Base,66,1.8932667315324325
SOC,Base,67,1.9232665473553847
SOC,Base,68,1.9531690157198842
SOC,Base,69,1.9826550478825273
SOC,Base,70,1.9975033693941406
SOC,Base,71,1.9848248543772764
SOC,Base,72,2.0054553004786175
SOC,Base,73,2.0371406273181663
SOC,Base,74,2.0705395201101169
SOC,Base,75,2.1055926370087605
SOC,Base,76,2.1383212149100217
SOC,Base,77,2.1643366998842124
SOC,Base,78,2.1547883222728532
SOC,Base,79,2.1637598743520741
SOC,Base,80,2.1952134424730323
SOC,Base,81,2.2282654056985058
SOC,Base,82,2.2637922266585004
SOC,Base,83,2.3049345219828807
SOC,Base,84,2.3501575110471569
SOC,Base,85,2.3362675990656006
SOC,Base,86,2.3395975378765272
SOC,Base,87,2.3718818434365052
SOC,Base,88,2.4043051771217749
SOC,Base,89,2.4397108200722557
SOC,Base,90,2.4786255048172818
SOC,Base,91,2.5146422357291356
SOC,Base,92,2.5100540588640468
SOC,Base,93,2.506254617731448
SOC,Base,94,2.5409586232324419
SOC,Base,95,2.5790471288076016
SOC,Base,96,2.6140741591369321
SOC,Base,97,2.6495868096287412
SOC,Base,98,2.6870604580131969
SOC,Base,99,2.6945867982523941
SOC,Base,100,2.6845133180779555
SOC,Pruned,1,1.4855119455915393
SOC,Pruned,2,1.2024296164171488
SOC,Pruned,3,1.1004768765650965
SOC,Pruned,4,1.0477461039820981
SOC,Pruned,5,1.0374340930874757
SOC,Pruned,6,1.0524388651794885
SOC,Pruned,7,1.0158206910044798
SOC,Pruned,8,1.0068637895010921
SOC,Pruned,9,1.0115190134416434
SOC,Pruned,10,1.0157516025826652
SOC,Pruned,11,1.0259186105590734
SOC,Pruned,12,1.0254852512593422
SOC,Pruned,13,1.0059645587514163
SOC,Pruned,14,1.0067291081680918
SOC,Pruned,15,1.0193810606764315
SOC,Pruned,16,1.0350945593796594
SOC,Pruned,17,1.0517153994336224
SOC,Pruned,18,1.0691873928316338
SOC,Pruned,19,1.0869816854730356
SOC,Pruned,20,1.1317066044813615
SOC,Pruned,21,1.1217495810792115
SOC,Pruned,22,1.1438557024093237
SOC,Pruned,23,1.1593982376981462
SOC,Pruned,24,1.1760500831380825
SOC,Pruned,25,1.196726271040492
SOC,Pruned,26,1.2146620893953828
SOC,Pruned,27,1.2590252343920592
SOC,Pruned,28,1.23718731974336
SOC,Pruned,29,1.2603969621212905
SOC,Pruned,30,1.2751798326814576
SOC,Pruned,31,1.2912919058610368
SOC,Pruned,32,1.3071528950700726
SOC,Pruned,33,1.3238285009462256
SOC,Pruned,34,1.3433280160716212
SOC,Pruned,35,1.3383615349300535
SOC,Pruned,36,1.3537032922583712
SOC,Pruned,37,1.3726230024425534
SOC,Pruned,38,1.3892114104940512
SOC,Pruned,39,1.4054495873505739
SOC,Pruned,40,1.4195083916424445
SOC,Pruned,41,1.4254571222308514
SOC,Pruned,42,1.4395935966496003
SOC,Pruned,43,1.4438737830059896
SOC,Pruned,44,1.462909508786971
SOC,Pruned,45,1.4786779093508977
SOC,Pruned,46,1.4938135080630368
SOC,Pruned,47,1.5082750279072945
SOC,Pruned,48,1.5237143132623914
SOC,Pruned,49,1.5383017747625889
SOC,Pruned,50,1.5418166993053097
SOC,Pruned,51,1.5652406449824832
SOC,Pruned,52,1.582733316783993
SOC,Pruned,53,1.6020256794553136
SOC,Pruned,54,1.6222185734371715
SOC,Pruned,55,1.6422009120474852
SOC,Pruned,56,1.6554635007813865
SOC,Pruned,57,1.651042947031143
SOC,Pruned,58,1.6709546175342769
SOC,Pruned,59,1.6926169821488126
SOC,Pruned,60,1.7118759893795878
SOC,Pruned,61,1.7323971707913652
SOC,Pruned,62,1.7526995507547973
SOC,Pruned,63,1.7735937601403697
SOC,Pruned,64,1.762264528711343
SOC,Pruned,65,1.7879241944942226
SOC,Pruned,66,1.8077357336217499
SOC,Pruned,67,1.8262957599185479
SOC,Pruned,68,1.8458503184846844
SOC,Pruned,69,1.8661061952191269
SOC,Pruned,70,1.8755509718443821
SOC,Pruned,71,1.886160823553114
SOC,Pruned,72,1.8942880525632353
SOC,Pruned,73,1.9105898385634881
SOC,Pruned,74,1.9290286024956247
SOC,Pruned,75,1.948628124554115
SOC,Pruned,76,1.9691937076907498
SOC,Pruned,77,1.9851910968389659
SOC,Pruned,78,1.9963760571857223
SOC,Pruned,79,2.0025712314092892
SOC,Pruned,80,2.024144803075334
SOC,Pruned,81,2.044399150907652
