"Task","PruningFraction","HiddenSize","PrunedHiddenSize","TotalMACs","MACReductionPct"
"SOC","0.3","30","21","6304","41.6878172588832"
"SOC","0.3","40","28","9984","43.2692307692308"
"SOC","0.3","50","35","14464","44.3860619469027"
"SOC","0.3","60","42","19744","45.2188006482982"
"SOC","0.3","70","49","25824","45.864312267658"
"SOC","0.3","80","56","32704","46.3796477495108"
"SOC","0.3","90","63","40384","46.8007131537242"
"SOC","0.3","100","70","48864","47.1512770137525"
"SOC","0.3","110","77","58144","47.44771601541"
"SOC","0.3","120","84","68224","47.7016885553471"
"SOC","0.3","130","91","79104","47.9217233009709"
"SOC","0.3","140","98","90784","48.1142051462813"
"SOC","0.3","150","105","103264","48.284009916331"
"SOC","0.3","160","112","116544","48.4349258649094"
"SOC","0.3","170","119","130624","48.5699412052915"
"SOC","0.3","180","126","145504","48.691444908731"
"SOC","0.3","190","133","161184","48.8013698630137"
"SOC","0.3","200","140","177664","48.9012968299712"
"SOC","0.3","210","147","194944","48.9925311884439"
"SOC","0.3","220","154","213024","49.0761604326273"
"SOC","0.3","230","161","231904","49.1530978335863"
"SOC","0.3","240","168","251584","49.2241160010175"
"SOC","0.3","250","175","272064","49.2898729710656"
"SOC","0.3","260","182","293344","49.3509326933566"
"SOC","0.3","270","189","315424","49.4077812721924"
"SOC","0.3","280","196","338304","49.460839954597"
"SOC","0.3","290","203","361984","49.5104756011315"
"SOC","0.3","300","210","386464","49.5570091910243"
"SOC","0.3","310","217","411744","49.6007227792026"
"SOC","0.3","320","224","437824","49.6418652243824"
"SOC","0.3","330","231","464704","49.6806569343066"
"SOC","0.3","340","238","492384","49.717293819458"
"SOC","0.3","350","245","520864","49.7519506051484"
"SOC","0.3","360","252","550144","49.7847836202885"
"SOC","0.3","370","259","580224","49.8159331568498"
"SOC","0.3","380","266","611104","49.8455254752055"
"SOC","0.3","390","273","642784","49.873674515856"
"SOC","0.3","400","280","675264","49.9004833665055"
"SOC","0.3","410","287","708544","49.9260455243429"
"SOC","0.3","420","294","742624","49.9504459861249"
"SOC","0.3","430","301","777504","49.9737621928633"
"SOC","0.3","440","308","813184","49.9960648512514"
"SOC","0.3","450","315","849664","50.0174186501958"
"SOC","0.3","460","322","886944","50.0378828877584"
"SOC","0.3","470","329","925024","50.0575120213097"
"SOC","0.3","480","336","963904","50.07635615165"
"SOC","0.3","490","343","1003584","50.0944614501626"
"SOC","0.3","500","350","1044064","50.1118705366721"
"SOC","0.3","510","357","1085344","50.1286228145178"
"SOC","0.3","520","364","1127424","50.1447547683924"
"SOC","0.3","530","371","1170304","50.1603002296839"
"SOC","0.3","540","378","1213984","50.1752906133854"
"SOC","0.3","550","385","1258464","50.1897551300633"
"SOC","0.3","560","392","1303744","50.2037209758971"
"SOC","0.3","570","399","1349824","50.2172135033901"
"SOC","0.3","580","406","1396704","50.2302563750086"
"SOC","0.3","590","413","1444384","50.2428717017081"
"SOC","0.3","600","420","1492864","50.2550801680528"
"SOC","0.3","610","427","1542144","50.2669011454183"
"SOC","0.3","620","434","1592224","50.2783527945817"
"SOC","0.3","630","441","1643104","50.2894521588408"
"SOC","0.3","640","448","1694784","50.3002152486689"
"SOC","0.3","650","455","1747264","50.3106571187869"
"SOC","0.3","660","462","1800544","50.3207919384364"
"SOC","0.3","670","469","1854624","50.3306330555412"
"SOC","0.3","680","476","1909504","50.3401930553694"
"SOC","0.3","690","483","1965184","50.3494838142383"
"SOC","0.3","700","490","2021664","50.358516548744"
"SOC","0.3","710","497","2078944","50.3673018609448"
"SOC","0.3","720","504","2137024","50.3758497798808"
"SOC","0.3","730","511","2195904","50.3841697997727"
"SOC","0.3","740","518","2255584","50.3922709152042"
"SOC","0.3","750","525","2316064","50.400161653564"
"SOC","0.3","760","532","2377344","50.4078501049911"
"SOC","0.3","770","539","2439424","50.4153439500472"
"SOC","0.3","780","546","2502304","50.4226504853127"
"SOC","0.3","790","553","2565984","50.4297766470874"
"SOC","0.3","800","560","2630464","50.4367290333569"
"SOC","0.3","810","567","2695744","50.4435139241708"
"SOC","0.3","820","574","2761824","50.4501373005666"
"SOC","0.3","830","581","2828704","50.4566048621559"
"SOC","0.3","840","588","2896384","50.4629220434859"
"SOC","0.3","850","595","2964864","50.4690940292708"
"SOC","0.3","860","602","3034144","50.4751257685858"
"SOC","0.3","870","609","3104224","50.481021988104"
"SOC","0.3","880","616","3175104","50.4867872044506"
"SOC","0.3","890","623","3246784","50.4924257357434"
"SOC","0.3","900","630","3319264","50.4979417123796"
"SOC","0.3","910","637","3392544","50.5033390871275"
"SOC","0.3","920","644","3466624","50.5086216445741"
"SOC","0.3","930","651","3541504","50.5137930099754"
"SOC","0.3","940","658","3617184","50.5188566575546"
"SOC","0.3","950","665","3693664","50.523815918286"
"SOC","0.3","960","672","3770944","50.5286739872032"
"SOC","0.3","970","679","3849024","50.5334339302639"
"SOC","0.3","980","686","3927904","50.538098690803"
"SOC","0.3","990","693","4007584","50.5426710956027"
"SOC","0.3","1000","700","4088064","50.5471538606049"
"SOH","0.3","30","21","8288","38.6583011583012"
"SOH","0.3","40","28","12608","40.3553299492386"
"SOH","0.3","50","35","17728","41.6290613718412"
"SOH","0.3","60","42","23648","42.6251691474966"
"SOH","0.3","70","49","30368","43.427291886196"
"SOH","0.3","80","56","37888","44.0878378378378"
"SOH","0.3","90","63","46208","44.641620498615"
"SOH","0.3","100","70","55328","45.1127819548872"
"SOH","0.3","110","77","65248","45.518636586562"
"SOH","0.3","120","84","75968","45.8719460825611"
"SOH","0.3","130","91","87488","46.1823335771763"
"SOH","0.3","140","98","99808","46.457197819814"
"SOH","0.3","150","105","112928","46.7023236044205"
"SOH","0.3","160","112","126848","46.9223007063572"
"SOH","0.3","170","119","141568","47.1208182640145"
"SOH","0.3","180","126","157088","47.3008759421471"
"SOH","0.3","190","133","173408","47.4649381804761"
"SOH","0.3","200","140","190528","47.6150487067518"
"SOH","0.3","210","147","208448","47.7529167945963"
"SOH","0.3","220","154","227168","47.8799830962107"
"SOH","0.3","230","161","246688","47.9974704890388"
"SOH","0.3","240","168","267008","48.1064237775647"
"SOH","0.3","250","175","288128","48.2077410039982"
"SOH","0.3","260","182","310048","48.3021983692848"
"SOH","0.3","270","189","332768","48.3904702375228"
"SOH","0.3","280","196","356288","48.4731453206395"
"SOH","0.3","290","203","380608","48.5507398688414"
"SOH","0.3","300","210","405728","48.6237084943607"
"SOH","0.3","310","217","431648","48.6924531099414"
"SOH","0.3","320","224","458368","48.7573303546495"
"SOH","0.3","330","231","485888","48.8186577976818"
"SOH","0.3","340","238","514208","48.8767191486714"
"SOH","0.3","350","245","543328","48.9317686553978"
"SOH","0.3","360","252","573248","48.9840348330914"
"SOH","0.3","370","259","603968","49.0337236409876"
"SOH","0.3","380","266","635488","49.0810211994562"
"SOH","0.3","390","273","667808","49.1260961234367"
"SOH","0.3","400","280","700928","49.1691015339664"
"SOH","0.3","410","287","734848","49.2101767984672"
"SOH","0.3","420","294","769568","49.2494490415402"
"SOH","0.3","430","301","805088","49.2870344608291"
"SOH","0.3","440","308","841408","49.3230394766867"
"SOH","0.3","450","315","878528","49.3575617396372"
"SOH","0.3","460","322","916448","49.3906910157478"
"SOH","0.3","470","329","955168","49.4225099668331"
"SOH","0.3","480","336","994688","49.453094839789"
"SOH","0.3","490","343","1035008","49.4825160771704"
"SOH","0.3","500","350","1076128","49.5108388593179"
"SOH","0.3","510","357","1118048","49.5381235868227"
"SOH","0.3","520","364","1160768","49.5644263108563"
"SOH","0.3","530","371","1204288","49.589799117819"
"SOH","0.3","540","378","1248608","49.6142904738717"
"SOH","0.3","550","385","1293728","49.6379455341463"
"SOH","0.3","560","392","1339648","49.6608064207911"
"SOH","0.3","570","399","1386368","49.6829124734558"
"SOH","0.3","580","406","1433888","49.7043004753509"
"SOH","0.3","590","413","1482208","49.7250048576178"
"SOH","0.3","600","420","1531328","49.7450578843984"
"SOH","0.3","610","427","1581248","49.7644898206986"
"SOH","0.3","620","434","1631968","49.783329084884"
"SOH","0.3","630","441","1683488","49.8016023874242"
"SOH","0.3","640","448","1735808","49.8193348573114"
"SOH","0.3","650","455","1788928","49.8365501574127"
