"Task","FocalMetric","FocalWeight","RemainingEach","UBase","UPruned","UQuantized","QuantMinusPruned","Winner"
"SOC","Accuracy","0.25","0.25","1","0.7127226940135637","1.8319302596121587","1.1192075655985949","Pruned"
"SOC","Accuracy","0.29999999999999999","0.23333333333333331","1","0.7232683005866416","1.7791166267339062","1.0558483261472646","Pruned"
"SOC","Accuracy","0.34999999999999998","0.21666666666666667","1","0.73381390715971972","1.726302993855654","0.99248908669593428","Pruned"
"SOC","Accuracy","0.39999999999999997","0.20000000000000004","1","0.74435951373279763","1.6734893609774018","0.92912984724460412","Pruned"
"SOC","Accuracy","0.44999999999999996","0.18333333333333335","1","0.75490512030587553","1.6206757280991488","0.86577060779327331","Pruned"
"SOC","Accuracy","0.49999999999999994","0.16666666666666666","1","0.76545072687895344","1.5678620952208964","0.80241136834194293","Pruned"
"SOC","Accuracy","0.54999999999999993","0.15000000000000002","1","0.77599633345203156","1.5150484623426443","0.73905212889061278","Pruned"
"SOC","Accuracy","0.59999999999999998","0.13333333333333333","1","0.78654194002510935","1.4622348294643916","0.6756928894392823","Pruned"
"SOC","Accuracy","0.65000000000000002","0.11666666666666665","1","0.79708754659818726","1.4094211965861392","0.61233364998795192","Pruned"
"SOC","Accuracy","0.70000000000000007","0.099999999999999978","1","0.80763315317126538","1.3566075637078867","0.54897441053662133","Pruned"
"SOC","Accuracy","0.75000000000000011","0.083333333333333301","1","0.81817875974434318","1.3037939308296342","0.48561517108529106","Pruned"
"SOC","Accuracy","0.80000000000000016","0.06666666666666661","1","0.82872436631742119","1.2509802979513815","0.42225593163396036","Pruned"
"SOC","Accuracy","0.8500000000000002","0.049999999999999933","1","0.83926997289049909","1.1981666650731291","0.35889669218262998","Pruned"
"SOC","Flash","0.25","0.25","1","0.7127226940135637","1.8319302596121587","1.1192075655985949","Pruned"
"SOC","Flash","0.29999999999999999","0.23333333333333331","1","0.70462422956647641","1.7430209704981237","1.0383967409316472","Pruned"
"SOC","Flash","0.34999999999999998","0.21666666666666667","1","0.69652576511938924","1.6541116813840888","0.95758591626469958","Pruned"
"SOC","Flash","0.39999999999999997","0.20000000000000004","1","0.68842730067230185","1.565202392270054","0.87677509159775213","Pruned"
"SOC","Flash","0.44999999999999996","0.18333333333333335","1","0.68032883622521456","1.4762931031560187","0.79596426693080413","Pruned"
"SOC","Flash","0.49999999999999994","0.16666666666666666","1","0.67223037177812728","1.3873838140419834","0.71515344226385613","Pruned"
"SOC","Flash","0.54999999999999993","0.15000000000000002","1","0.66413190733104011","1.2984745249279488","0.63434261759690869","Pruned"
"SOC","Flash","0.59999999999999998","0.13333333333333333","1","0.6560334428839526","1.2095652358139135","0.55353179292996091","Pruned"
"SOC","Flash","0.65000000000000002","0.11666666666666665","1","0.64793497843686532","1.1206559466998784","0.47272096826301313","Pruned"
"SOC","Flash","0.70000000000000007","0.099999999999999978","1","0.63983651398977803","1.0317466575858432","0.39191014359606513","Pruned"
"SOC","Flash","0.75000000000000011","0.083333333333333301","1","0.63173804954269064","0.9428373684718081","0.31109931892911746","Pruned"
"SOC","Flash","0.80000000000000016","0.06666666666666661","1","0.62363958509560347","0.85392807935777304","0.23028849426216957","Pruned"
"SOC","Flash","0.8500000000000002","0.049999999999999933","1","0.61554112064851596","0.76501879024373798","0.14947766959522202","Pruned"
"SOC","RAM","0.25","0.25","1","0.7127226940135637","1.8319302596121587","1.1192075655985949","Pruned"
"SOC","RAM","0.29999999999999999","0.23333333333333331","1","0.719704129017122","1.7633512713783799","1.0436471423612579","Pruned"
"SOC","RAM","0.34999999999999998","0.21666666666666667","1","0.7266855640206803","1.6947722831446013","0.96808671912392097","Pruned"
"SOC","RAM","0.39999999999999997","0.20000000000000004","1","0.7336669990242386","1.6261932949108227","0.89252629588658405","Pruned"
"SOC","RAM","0.44999999999999996","0.18333333333333335","1","0.74064843402779668","1.5576143066770436","0.81696587264924692","Pruned"
"SOC","RAM","0.49999999999999994","0.16666666666666666","1","0.74762986903135487","1.4890353184432645","0.74140544941190967","Pruned"
"SOC","RAM","0.54999999999999993","0.15000000000000002","1","0.75461130403491317","1.4204563302094861","0.66584502617457297","Pruned"
"SOC","RAM","0.59999999999999998","0.13333333333333333","1","0.76159273903847136","1.3518773419757071","0.59028460293723573","Pruned"
"SOC","RAM","0.65000000000000002","0.11666666666666665","1","0.76857417404202955","1.2832983537419282","0.5147241796998987","Pruned"
"SOC","RAM","0.70000000000000007","0.099999999999999978","1","0.77555560904558796","1.2147193655081494","0.43916375646256145","Pruned"
"SOC","RAM","0.75000000000000011","0.083333333333333301","1","0.78253704404914615","1.1461403772743706","0.36360333322522442","Pruned"
"SOC","RAM","0.80000000000000016","0.06666666666666661","1","0.78951847905270423","1.0775613890405915","0.28804290998788729","Pruned"
"SOC","RAM","0.8500000000000002","0.049999999999999933","1","0.79649991405626253","1.0089824008068127","0.21248248675055015","Pruned"
"SOC","Energy","0.25","0.25","1","0.7127226940135637","1.8319302596121587","1.1192075655985949","Pruned"
"SOC","Energy","0.29999999999999999","0.23333333333333331","1","0.70329411688401489","2.0422321698382246","1.3389380529542096","Pruned"
"SOC","Energy","0.34999999999999998","0.21666666666666667","1","0.69386553975446608","2.252534080064291","1.5586685403098248","Pruned"
"SOC","Energy","0.39999999999999997","0.20000000000000004","1","0.68443696262491727","2.4628359902903574","1.77839902766544","Pruned"
"SOC","Energy","0.44999999999999996","0.18333333333333335","1","0.67500838549536835","2.6731379005164237","1.9981295150210554","Pruned"
"SOC","Energy","0.49999999999999994","0.16666666666666666","1","0.66557980836581943","2.8834398107424897","2.2178600023766704","Pruned"
"SOC","Energy","0.54999999999999993","0.15000000000000002","1","0.65615123123627073","3.093741720968556","2.4375904897322851","Pruned"
"SOC","Energy","0.59999999999999998","0.13333333333333333","1","0.64672265410672169","3.3040436311946224","2.6573209770879007","Pruned"
"SOC","Energy","0.65000000000000002","0.11666666666666665","1","0.63729407697717289","3.5143455414206892","2.8770514644435163","Pruned"
"SOC","Energy","0.70000000000000007","0.099999999999999978","1","0.62786549984762396","3.7246474516467556","3.0967819517991315","Pruned"
"SOC","Energy","0.75000000000000011","0.083333333333333301","1","0.61843692271807515","3.934949361872822","3.3165124391547467","Pruned"
"SOC","Energy","0.80000000000000016","0.06666666666666661","1","0.60900834558852623","4.1452512720988883","3.5362429265103623","Pruned"
"SOC","Energy","0.8500000000000002","0.049999999999999933","1","0.59957976845897742","4.3555531823249547","3.7559734138659771","Pruned"
"SOH","Accuracy","0.25","0.25","1","0.9037247291387569","1.0306097470385702","0.12688501789981332","Pruned"
"SOH","Accuracy","0.29999999999999999","0.23333333333333331","1","0.95746020339543225","1.0722153749898884","0.11475517159445614","Pruned"
"SOH","Accuracy","0.34999999999999998","0.21666666666666667","1","1.0111956776521076","1.1138210029412068","0.10262532528909918","Base"
"SOH","Accuracy","0.39999999999999997","0.20000000000000004","1","1.064931151908783","1.1554266308925252","0.090495478983742217","Base"
"SOH","Accuracy","0.44999999999999996","0.18333333333333335","1","1.1186666261654583","1.1970322588438431","0.078365632678384811","Base"
"SOH","Accuracy","0.49999999999999994","0.16666666666666666","1","1.1724021004221337","1.2386378867951613","0.066235786373027628","Base"
"SOH","Accuracy","0.54999999999999993","0.15000000000000002","1","1.226137574678809","1.2802435147464797","0.054105940067670666","Base"
"SOH","Accuracy","0.59999999999999998","0.13333333333333333","1","1.2798730489354844","1.3218491426977981","0.041976093762313704","Base"
"SOH","Accuracy","0.65000000000000002","0.11666666666666665","1","1.3336085231921599","1.363454770649116","0.029846247456956077","Base"
"SOH","Accuracy","0.70000000000000007","0.099999999999999978","1","1.3873439974488355","1.4050603986004344","0.017716401151598893","Base"
"SOH","Accuracy","0.75000000000000011","0.083333333333333301","1","1.4410794717055109","1.4466660265517528","0.0055865548462419312","Base"
"SOH","Accuracy","0.80000000000000016","0.06666666666666661","1","1.4948149459621862","1.488271654503071","-0.0065432914591152525","Base"
"SOH","Accuracy","0.8500000000000002","0.049999999999999933","1","1.5485504202188618","1.5298772824543896","-0.018673137764472214","Base"
"SOH","Flash","0.25","0.25","1","0.9037247291387569","1.0306097470385702","0.12688501789981332","Pruned"
"SOH","Flash","0.29999999999999999","0.23333333333333331","1","0.87977691137527736","0.98936511713649633","0.10958820576121897","Pruned"
"SOH","Flash","0.34999999999999998","0.21666666666666667","1","0.85582909361179815","0.94812048723442266","0.092291393622624507","Pruned"
"SOH","Flash","0.39999999999999997","0.20000000000000004","1","0.83188127584831917","0.90687585733234899","0.074994581484029821","Pruned"
